,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
45419,City Centre,2500000.0,3,3.0,2.0,Serviced Residence (Corner),1614.0,Partly Furnished,Built-up
45420,Sri Petaling,388000.0,3,2.0,1.0,Condominium,1141.0,Fully Furnished,Built-up
45423,Taman Desa,308000.0,3,2.0,1.0,Apartment (Intermediate),830.0,Partly Furnished,Built-up
45424,Taman Desa,588000.0,2,2.0,1.0,Condominium,1000.0,Partly Furnished,Built-up
45425,Taman Desa,788000.0,3,3.0,1.0,Condominium,1313.0,Partly Furnished,Built-up
45426,Bukit Bintang,6900000.0,4+2,3.0,4.0,Serviced Residence (Corner),4157.0,Fully Furnished,Built-up
45427,KLCC,1415700.0,1,1.0,1.0,Serviced Residence,850.0,Fully Furnished,Built-up
45428,Bukit Jalil,930000.0,3+1,3.0,2.0,Condominium (Intermediate),1513.0,Partly Furnished,Built-up
45429,Jalan Klang Lama (Old Klang Road),450000.0,3+1,2.0,1.0,Serviced Residence (Intermediate),880.0,Partly Furnished,Built-up
45430,Jalan Klang Lama (Old Klang Road),466000.0,3,3.0,3.0,Condominium,1250.0,Unfurnished,Built-up
45431,KL City,430000.0,3+1,2.0,2.0,Condominium,1065.0,Unfurnished,Built-up
45432,Setapak,419000.0,3,2.0,2.0,Serviced Residence,842.0,Unfurnished,Built-up
45433,Wangsa Maju,339000.0,2,1.0,1.0,Serviced Residence,657.0,Partly Furnished,Built-up
45434,KL City,1280000.0,2,2.0,1.0,Serviced Residence,868.0,Fully Furnished,Built-up
45435,Bangsar,1500000.0,3,3.0,2.0,3-sty Terrace/Link House,2200.0,Fully Furnished,Built-up
45436,Ampang,6000000.0,5,5.0,5.0,Bungalow,6000.0,Fully Furnished,Land area
45442,Jalan Klang Lama (Old Klang Road),768000.0,3+1,2.0,1.0,Condominium,1092.0,Partly Furnished,Built-up
45443,Kepong,599000.0,3,2.0,2.0,Serviced Residence,1162.0,Partly Furnished,Built-up
45447,Kuchai Lama,300000.0,3,2.0,1.0,Flat (Intermediate),820.0,Unfurnished,Built-up
45448,Mont Kiara,2350000.0,4+1,5.0,3.0,Condominium,2973.0,Partly Furnished,Built-up
45449,Desa ParkCity,1150000.0,3,2.0,2.0,Condominium (Corner),1389.0,Partly Furnished,Built-up
45450,Desa ParkCity,1080000.0,3,2.0,2.0,Condominium,1389.0,Partly Furnished,Built-up
45451,Desa ParkCity,1150000.0,3+1,2.0,2.0,Condominium (Corner),1389.0,Partly Furnished,Built-up
45452,Desa ParkCity,1110000.0,2+1,3.0,2.0,Condominium (Corner),1400.0,Partly Furnished,Built-up
45453,Taman Desa,2500.0,3,2.0,1.0,Serviced Residence,935.0,Fully Furnished,Built-up
45454,Taman Desa,2300.0,3,2.0,1.0,Serviced Residence,935.0,Fully Furnished,Built-up
45457,Desa ParkCity,2950000.0,3+1,4.0,2.0,2-sty Terrace/Link House (Corner),2400.0,Fully Furnished,Built-up
45458,Desa ParkCity,900000.0,1,2.0,2.0,Condominium (Corner),969.0,Fully Furnished,Built-up
45459,Desa ParkCity,1650000.0,3+1,3.0,2.0,Condominium,1701.0,Fully Furnished,Built-up
45460,Desa ParkCity,1350000.0,3,3.0,3.0,Condominium (Intermediate),1701.0,Partly Furnished,Built-up
45461,Desa ParkCity,825000.0,1,1.0,2.0,Condominium (Corner),969.0,Partly Furnished,Built-up
45462,Desa ParkCity,1500000.0,3+1,4.0,3.0,Condominium (Corner),2066.0,Fully Furnished,Built-up
45463,Sri Hartamas,3600000.0,4,4.0,2.0,3.5-sty Terrace/Link House,2000.0,Partly Furnished,Land area
45465,Wangsa Maju,1200000.0,4+1,6.0,3.0,Condominium,2266.0,Partly Furnished,Built-up
45466,Wangsa Maju,580000.0,3,3.0,2.0,Condominium (Corner),1267.0,Partly Furnished,Built-up
45467,Salak Selatan,630000.0,3,2.0,2.0,Serviced Residence,1089.0,Fully Furnished,Built-up
45469,Segambut,730000.0,3,3.0,2.0,Condominium,1395.0,Partly Furnished,Built-up
45470,Kuchai Lama,455000.0,3,2.0,1.0,Serviced Residence (Intermediate),935.0,Partly Furnished,Built-up
45471,Kuchai Lama,460000.0,3,2.0,1.0,Serviced Residence (Corner),935.0,Partly Furnished,Built-up
45472,Mont Kiara,1880000.0,3+1,4.0,2.0,Condominium (Intermediate),2243.0,Fully Furnished,Built-up
45477,KL City,465500.0,3+1,2.0,2.0,Condominium (Intermediate),1065.0,Unfurnished,Built-up
45478,Salak Selatan,574600.0,3,2.0,2.0,Serviced Residence (Intermediate),1089.0,Unfurnished,Built-up
45482,KLCC,1700000.0,3,3.0,2.0,Condominium,2028.0,Fully Furnished,Built-up
